,0,1
0,0,4
1,0,25
2,0,7
3,0,0
4,0,1
5,0,17
6,0,22
7,0,27
8,0,23
9,0,24
10,1,3
11,1,27
12,1,0
13,1,12
14,1,13
15,1,10
16,1,31
17,1,6
18,1,44
19,1,57
20,2,4
21,2,7
22,2,25
23,2,1
24,2,17
25,2,22
26,2,23
27,2,24
28,2,26
29,2,20
30,3,0
31,3,28
32,3,37
33,3,8
34,3,59
35,3,14
36,3,2
37,3,42
38,3,16
39,3,45
40,4,0
41,4,16
42,4,29
43,4,3
44,4,19
45,4,30
46,4,15
47,4,4
48,4,25
49,4,1
50,5,3
51,5,4
52,5,7
53,5,25
54,5,1
55,5,0
56,5,10
57,5,17
58,5,27
59,5,22
60,6,3
61,6,1
62,6,17
63,6,25
64,6,22
65,6,23
66,6,26
67,6,20
68,6,6
69,6,13
70,7,7
71,7,1
72,7,25
73,7,17
74,7,22
75,7,23
76,7,31
77,7,24
78,7,26
79,7,20
80,8,3
81,8,7
82,8,30
83,8,31
84,8,56
85,8,6
86,8,57
87,8,42
88,8,28
89,8,49
90,9,7
91,9,0
92,9,1
93,9,17
94,9,22
95,9,23
96,9,27
97,9,26
98,9,20
99,9,16
100,10,4
101,10,1
102,10,0
103,10,17
104,10,27
105,10,22
106,10,23
107,10,24
108,10,26
109,10,21
110,11,25
111,11,0
112,11,17
113,11,32
114,11,22
115,11,23
116,11,24
117,11,26
118,11,20
119,11,16
120,12,0
121,12,3
122,12,4
123,12,16
124,12,25
125,12,19
126,12,45
127,12,7
128,12,1
129,12,37
130,13,3
131,13,1
132,13,4
133,13,7
134,13,25
135,13,22
136,13,27
137,13,6
138,13,44
139,13,31
140,14,22
141,14,27
142,14,0
143,14,31
144,14,44
145,14,6
146,14,21
147,14,37
148,14,16
149,14,57
150,15,3
151,15,4
152,15,25
153,15,1
154,15,27
155,15,17
156,15,22
157,15,23
158,15,12
159,15,26
160,16,3
161,16,25
162,16,1
163,16,4
164,16,7
165,16,17
166,16,22
167,16,23
168,16,20
169,16,26
170,17,1
171,17,17
172,17,27
173,17,22
174,17,23
175,17,24
176,17,20
177,17,26
178,17,0
179,17,31
180,18,23
181,18,12
182,18,26
183,18,20
184,18,24
185,18,31
186,18,57
187,18,0
188,18,10
189,18,32
190,19,25
191,19,0
192,19,3
193,19,1
194,19,2
195,19,17
196,19,4
197,19,10
198,19,22
199,19,23
200,20,3
201,20,4
202,20,24
203,20,27
204,20,12
205,20,31
206,20,10
207,20,0
208,20,6
209,20,57
210,21,1
211,21,3
212,21,4
213,21,25
214,21,17
215,21,22
216,21,7
217,21,23
218,21,20
219,21,26
220,22,0
221,22,30
222,22,16
223,22,29
224,22,19
225,22,4
226,22,25
227,22,15
228,22,1
229,22,45
230,23,0
231,23,27
232,23,21
233,23,45
234,23,44
235,23,12
236,23,13
237,23,56
238,23,2
239,23,16
240,24,4
241,24,25
242,24,1
243,24,17
244,24,22
245,24,27
246,24,23
247,24,26
248,24,20
249,24,24
250,25,3
251,25,4
252,25,25
253,25,1
254,25,27
255,25,17
256,25,22
257,25,23
258,25,24
259,25,26
260,26,19
261,26,3
262,26,15
263,26,4
264,26,1
265,26,25
266,26,7
267,26,45
268,26,17
269,26,22
270,27,1
271,27,17
272,27,22
273,27,23
274,27,24
275,27,26
276,27,20
277,27,32
278,27,44
279,27,15
280,28,4
281,28,25
282,28,7
283,28,27
284,28,0
285,28,12
286,28,13
287,28,9
288,28,6
289,28,31
290,29,3
291,29,9
292,29,6
293,29,31
294,29,32
295,29,57
296,29,16
297,29,21
298,29,2
299,29,37
300,30,3
301,30,4
302,30,25
303,30,7
304,30,24
305,30,16
306,30,10
307,30,19
308,30,15
309,30,6
310,31,3
311,31,17
312,31,22
313,31,23
314,31,27
315,31,24
316,31,26
317,31,20
318,31,10
319,31,12
320,32,0
321,32,29
322,32,16
323,32,30
324,32,19
325,32,15
326,32,3
327,32,4
328,32,45
329,32,25
330,33,3
331,33,4
332,33,7
333,33,1
334,33,25
335,33,17
336,33,22
337,33,27
338,33,23
339,33,20
340,34,3
341,34,4
342,34,25
343,34,7
344,34,1
345,34,0
346,34,17
347,34,22
348,34,27
349,34,23
350,35,1
351,35,7
352,35,17
353,35,22
354,35,23
355,35,24
356,35,26
357,35,20
358,35,10
359,35,9
360,36,3
361,36,4
362,36,1
363,36,25
364,36,15
365,36,29
366,36,30
367,36,7
368,36,17
369,36,22
370,37,3
371,37,4
